,Question Name, No.of Views, No.of answers, No.of Votes, Question id, Tags, Date 
20,Unable to lock the administration directory (/var/lib/dpkg/) is another process using it?,3000000.0,21,961,15433, apt package-management dpkg,11/30/2010
21,What hardware does Ubuntu Touch support?,109000.0,14,127,236276, ubuntu-touch,1/4/2013
22,How can I install software or packages without Internet (offline)?,398000.0,24,248,974, package-management,8/5/2010
23,What are PPAs and how do I use them?,610000.0,10,498,4983, ppa,5/5/2011
24,How do I install Ubuntu to a USB key? (without using Startup Disk Creator),206000.0,23,172,16988, system-installation,12/11/2010
25,I have a hardware detection problem what logs do I need to look into?,56000.0,8,175,14008, debugging,11/19/2010
26,How can I install Windows after I've installed Ubuntu?,628000.0,16,206,6317, dual-boot windows system-installation,10/12/2010
27,How do I remove a malformed line from my sources.list?,179000.0,9,62,78951, apt,11/13/2011
28,Unable to boot into Windows after installing Ubuntu how to fix?,80000.0,17,27,217904, boot grub2 windows,11/16/2012
29,What are the system requirements for each flavour of Ubuntu Desktop?,213000.0,8,108,333795, hardware compatibility system-requirements distro-recommendation,8/17/2013
30,How to fix The system is running in low-graphics mode error?,869000.0,42,280,141606, xorg lightdm login-screen unity-greeter,11/16/2012
31,How do I install the Nvidia drivers?,187000.0,13,138,61396, drivers nvidia hybrid-graphics,9/14/2011
32,How do I install a .tar.gz (or .tar.bz2) file?,3400000.0,14,432,25961, software-installation install-from-source,2/12/2011
33,How do I free up more space in /boot?,559000.0,21,545,89710, boot hard-drive filesystem disk-usage init,12/22/2011
34,How do I enable the Universe repository?,599000.0,4,150,148638, software-center package-management software-sources,6/9/2012
35,How do I upgrade to a newer version of Ubuntu?,996000.0,12,393,110477, upgrade release-management,3/6/2012
36,Can I skip over releases when upgrading?,99000.0,16,118,34430, upgrade,4/10/2011
37,How can I create a Windows bootable USB stick using Ubuntu?,1500000.0,11,427,289559, windows usb-creator,5/2/2013
38,How can I install Windows software or games?,210000.0,18,92,988, windows wine games,8/5/2010
39,Is a NVIDIA GeForce with Optimus Technology supported by Ubuntu?,177000.0,16,170,36930, nvidia graphics hardware nvidia-optimus,4/25/2011
40,What is the correct way to install proprietary ATI Catalyst Video Drivers (fglrx) directly from AMD?,531000.0,5,164,124292, software-installation graphics amd-graphics,4/22/2012
41,What are the differences between 32-bit and 64-bit and which should I choose?,155000.0,17,140,7034, cpu-architecture,10/14/2010
42,How do I get a Realtek RTL8723BE wireless card to work?,159000.0,7,53,635625, drivers wireless realtek-wireless,6/12/2015
43,How to customize the Ubuntu Live CD?,78000.0,14,201,48535, custom-distributions,6/13/2011
44,Unable to correct problems you have held broken packages,587000.0,7,195,223237, apt,11/28/2012
45,How do I remove old kernel versions to clean up the boot menu?,1000000.0,37,682,2793, grub2 kernel cleanup,2/3/2012
46,How do I fix the GPG error NO_PUBKEY?,479000.0,11,332,13065, apt gnupg,11/13/2010
47,How do I start applications automatically on login?,557000.0,14,330,48321, autostart,6/12/2011
48,Why do I get Required key not available when install 3rd party kernel modules or after a kernel upgrade?,125000.0,4,68,762254, kernel uefi secure-boot dkms,4/25/2016
49,What is the proper way of creating installation media from Ubuntu iso?,15000.0,6,27,674441, server system-installation live-usb,9/15/2015
50,What's a good back-up strategy for 1 desktop PC?,10000.0,5,51,569679, system-installation backup administration,1/6/2015
51,How can I install Ubuntu without removing Windows?,83000.0,9,68,1366, windows system-installation,8/6/2010
52,Why don't the Ubuntu repositories have the latest versions of software?,34000.0,7,137,151283, package-management repository release-management,6/15/2012
53,Are PPAs safe to add to my system and what are some red flags to watch out for?,138000.0,8,293,35629, security ppa repository,4/17/2011
54,How to roll back Ubuntu to a previous version?,288000.0,9,126,49869, release-management downgrade,6/21/2011
55,How can I install Sun/Oracle's proprietary Java JDK 6/7/8 or JRE?,844000.0,27,542,56104, java software-installation jdk jre,8/7/2011
56,How do I install applications in Ubuntu?,595000.0,10,82,307280, software-installation,6/12/2013
57,How do I install Guest Additions in a VirtualBox VM?,1700000.0,12,422,22743, virtualbox guest-additions,1/22/2011
58,How to avoid using sudo when working in /var/www?,95000.0,7,167,46331, sudo webserver,6/1/2011
59,How to recover deleted files?,339000.0,11,120,3883, data-recovery,9/9/2010
60,Unable to locate package while trying to install packages with APT,1500000.0,5,175,378558, apt package-management,11/17/2013
61,Dual boot Win 8 / Ubuntu loads only Win,16000.0,3,9,486752, dual-boot uefi vaio boot-repair,6/22/2014
62,Graphics issues after/while installing Ubuntu 16.04/16.10 with NVIDIA graphics,558000.0,12,171,760934, nvidia graphics,4/23/2016
63,How do I fix a Problem with MergeList or status file could not be parsed error when trying to do an update?,327000.0,8,349,30072, apt,3/12/2011
64,There's an issue with an Alpha/Beta Release of Ubuntu what should I do?,42000.0,9,115,18641, bug-reporting debugging release-management,12/23/2010
65,How do I use 'chmod' on an NTFS (or FAT32) partition?,184000.0,10,123,11840, permissions ntfs chmod,11/6/2010
66,How to prepare a disk on an EFI based PC for Ubuntu?,14000.0,2,16,743095, partitioning gparted disk partitions gpt,3/7/2016
67,How to prevent updating of a specific package?,274000.0,13,356,18654, updates package-management,12/23/2010
68,Trouble downloading packages list due to a Hash sum mismatch error,310000.0,20,360,41605, apt,5/9/2011
69,Install alongside option missing. How do I install Ubuntu beside Windows using Something Else?,106000.0,5,32,163962, windows-7 system-installation ubiquity,7/15/2012
70,How to run scripts on start up?,893000.0,9,488,814, startup autostart,8/4/2010
71,Will my device work with Ubuntu?,6000.0,2,36,986878, system-installation,12/16/2017
72,What kinds of desktop environments and shells are available?,660000.0,29,412,65083, software-recommendation desktop-environments,10/11/2011
73,Is there a power saving application similar to Jupiter?,166000.0,4,176,285434, software-recommendation power-management,4/25/2013
74,What if I accidentally run command chmod -R on system directories (/ /etc ),33000.0,8,53,43621, permissions sudo chmod,5/18/2011
75,How can PPAs be removed?,1300000.0,26,1149,307, ppa apt,7/29/2010
76,Nothing shows up in the terminal when I type my password,25000.0,8,33,112069, command-line password sudo,3/11/2012
77,How do I install additional drivers?,356000.0,4,73,47506, drivers,6/7/2011
78,Recovering broken or deleted NTFS partitions,5000.0,1answer,13,775579, dual-boot mount filesystem data-recovery ntfs,5/21/2016
79,My /boot partition hit 100% and now I can't upgrade. Can't remove old kernels to make room,176000.0,11,151,171209, upgrade apt partitioning,8/2/2012
80,How do I find the package that provides a file?,287000.0,8,421,481, package-management,7/30/2010
81,How do I set 'nomodeset' after I've already installed Ubuntu?,369000.0,3,90,38780, graphics grub2 nomodeset,5/1/2011
82,Bluetooth Broadcom 43142 isn't working,52000.0,3,33,632336, drivers wireless bluetooth broadcom firmware,6/4/2015
83,How do I make a bootable Ubuntu USB?,74000.0,7,36,287064, live-usb,4/28/2013
84,How to revert to GNOME Classic Desktop?,233000.0,12,240,58172, gnome gnome-classic,8/22/2011
85,How to add a directory to the PATH?,1200000.0,17,671,60218, environment-variables,7/22/2009
86,How do I reset my Unity configuration?,216000.0,12,182,17610, unity,12/15/2010
87,How do I restore the default repositories?,397000.0,3,126,124017, repository software-sources,4/21/2012
88,Why don't gksu/gksudo or launching a graphical application with sudo work with Wayland?,30000.0,7,40,961967, root gksu wayland,10/4/2017
89,Ubuntu 14.04.5/16.04 and newer on AMD graphics,157000.0,3,50,815591, drivers radeon amd-graphics,8/23/2016
90,How do I fix this E: Type '*' is not known on line * in source list  update error?,57000.0,3,35,96967, apt software-sources,1/19/2012
91,dpkg error: trying to overwrite file which is also in,83000.0,4,90,176121, apt software-installation dpkg,8/15/2012
92,How do I install Java?,434000.0,14,174,48468, software-installation java openjdk,12/15/2011
93,How do I install Skype?,179000.0,7,115,7498, software-installation skype,10/15/2010
94,How can I create launchers on my desktop?,476000.0,18,233,64222, .desktop,10/4/2011
95,How can I edit/create new launcher items in Unity by hand?,464000.0,15,443,13758, unity launcher .desktop,11/18/2010
96,How do I install and use the latest version of GNOME?,362000.0,12,167,22946, gnome software-installation,1/23/2011
97,How to update kernel to the latest mainline version without any Distro-upgrade?,457000.0,15,141,119080, upgrade kernel updates,4/5/2012
98,How do I install a .deb file via the command line?,3200000.0,9,1054,40779, command-line software-installation dpkg deb,5/6/2011
99,How to install and configure Wine?,471000.0,1answer,182,316025, wine software-installation,7/3/2013
100,Why should users never use normal sudo to start graphical applications?,23000.0,3,107,270006, sudo gui gksu,3/19/2013
101,Unable to mount Windows 10 partition; it is in an unsafe state [duplicate],29000.0,4,12,843153, 16.04 mount windows-10 partitions unmount,10/29/2016
102,How can I improve Ubuntu overall system performance?,385000.0,40,344,2194, performance,8/20/2010
103,How do I add myself back as a sudo user?,61000.0,4,62,70442, permissions sudo,10/21/2011
104,Permission denied are you root?,396000.0,7,66,223484, apt,11/29/2012
105,How do I fix Flash issues?,45000.0,8,30,86164, firefox flash google-chrome chromium,12/8/2011
106,Realtek Semiconductor RTL8723DE Device d723 issue,25000.0,2,16,983251, networking wireless realtek-wireless,12/4/2017
107,My disk already has 4 primary partitions how can I install Ubuntu?,108000.0,8,34,149821, partitioning system-installation,6/12/2012
108,What's the difference between a Long Term Support Release and a Normal Release?,78000.0,5,90,16366, lts release-management,12/6/2010
109,How do I install Adobe Flash player?,470000.0,20,105,11, flash software-installation,7/28/2010
110,What is a terminal and how do I open and use it?,308000.0,4,75,38162, command-line,4/29/2011
111,Do I need to have antivirus software installed? [closed],154000.0,24,217,10373, malware antivirus,10/30/2010
112,How can I dual boot Windows and Ubuntu?,34000.0,1answer,43,107538, windows dual-boot ubiquity,2/25/2012
113,How can I change what keys on my keyboard do? (How can I create custom keyboard commands/shortcuts?),156000.0,13,120,254424, shortcut-keys keyboard-layout xmodmap xkb xbindkeys,2/12/2013
114,What can I do if a repository/PPA I added does not have a Release file?,95000.0,4,30,866901, apt package-management updates ppa,1/1/2017
115,How do I change the GRUB boot order?,1300000.0,5,324,100232, boot grub2,1/31/2012
116,What Application Indicators are available?,519000.0,82,716,30334, software-recommendation indicator,4/29/2011
117,How do I install and manage GNOME Shell extensions?,182000.0,8,85,75530, software-installation gnome-shell-extension gnome-shell,11/4/2011
118,How can I get apt to use a mirror close to me or choose a faster mirror?,263000.0,6,193,37753, apt repository mirrors,4/28/2011
119,What are Unity's keyboard and mouse shortcuts?,424000.0,11,516,28086, unity shortcut-keys,2/25/2011
120,Why is No new release found when upgrading from a LTS to the next?,167000.0,4,221,125392, release-management,4/26/2012
121,How do I remove Ubuntu in the bios boot menu? (UEFI),149000.0,1answer,39,63610, boot menu bios uefi,9/29/2011
122,How to install Google Chrome,3300000.0,7,468,510056, software-installation google-chrome,8/12/2014
123,Comparison of backup tools,272000.0,33,330,2596, software-recommendation backup,8/18/2010
124,True Ubuntu on Chromebook ARM,81000.0,3,28,356243, system-installation samsung chromebook compatibility arm,10/10/2013
126,How do I install Ubuntu from an USB drive / create a live USB-stick in Windows?,28000.0,9,19,26269, live-usb system-installation,2/14/2011
127,How can I fix apt error W: Target Packages  is configured multiple times?,119000.0,6,102,760896, apt,4/22/2016
128,How can I configure Unity?,496000.0,11,303,29553, unity,3/8/2011
129,Acer Aspire E15 will not dual boot,77000.0,4,19,627416, dual-boot,5/23/2015
130,How do I set Windows to boot as the default in the boot loader?,654000.0,16,230,52963, grub2,7/13/2011
131,How to list all installed packages,3000000.0,23,1718,17823, apt package-management,12/17/2010
132,Clock time is off on dual boot,281000.0,4,288,169376, dual-boot windows timezone,7/28/2012
133,How to set up USB for Virtualbox?,301000.0,9,107,25596, usb virtualbox virtualization usb-drive,2/10/2011
134,Realtek RTL8723BE Wi-Fi incredibly weak,13000.0,4,22,883673, networking wireless realtek-wireless rtl8723be,2/15/2017
135,E: Unable to correct problems you have held broken packages,308000.0,4,102,363200, apt package-management,10/21/2013
136,How to enable hibernation?,362000.0,10,422,94754, power-management hibernate,1/12/2012
137,How to backup settings and list of installed packages,218000.0,14,271,9135, package-management backup,10/24/2010
138,How can I play encrypted DVD movies?,77000.0,8,92,500, dvd video-player codecs,7/30/2010
139,Windows 8 removes Grub as default boot manager,82000.0,7,37,235567, dual-boot windows-8 uefi vaio,1/3/2013
140,How do you switch from Wayland back to Xorg in Ubuntu 17.10?,51000.0,4,57,961304, xorg wayland 17.10,10/2/2017
141,Can't format my usb drive. I have already tried with mkdosfs and gparted,33000.0,5,12,144852, usb live-usb gparted ram format,6/1/2012
142,How can I accept the Microsoft EULA agreement for ttf-mscorefonts-installer?,247000.0,5,302,16225, apt software-installation fonts microsoft license,12/4/2010
143,How to install Broadcom wireless drivers offline?,107000.0,1answer,30,626642, networking wireless drivers broadcom,5/21/2015
144,How to convert Wubi install into regular install?,29000.0,10,50,635, windows wubi system-installation,8/1/2010
145,Is Ubuntu compatible with my hardware? [duplicate],6000.0,4,4,430551, system-installation hardware compatibility,3/6/2014
146,What is the easiest way to resolve apt-get BADSIG GPG errors?,92000.0,6,128,1877, apt gnupg,8/10/2010
147,How can I use Netflix on Ubuntu?,43000.0,9,118,1488, netflix,8/6/2010
148,How to create UEFI-only bootable USB live media?,392000.0,3,100,395879, boot live-usb uefi,12/26/2013
149,How can I check the SMART status of a SSD or HDD on current versions of Ubuntu 14.04 through 18.10?,175000.0,3,82,528072, hard-drive ssd smart,9/24/2014
150,What are some of the issues with CCSM and why would I want to avoid it?,35000.0,2,99,80589, unity compiz ccsm,11/18/2011
151,How do I disable X at boot time so that the system boots in text mode?,336000.0,15,211,16371, boot display-manager text-mode,12/6/2010
152,How do I add a kernel boot parameter?,329000.0,3,139,19486, kernel grub2,12/30/2010
153,How do I install the VirtualBox version from Oracle to install an Extension Pack?,77000.0,3,24,41478, installation virtualbox virtualization,5/9/2011
154,How do I set up a Cron job?,987000.0,7,512,2368, cron,8/16/2010
155,Strange artifacts along window borders after waking computer from sleep mode,26000.0,10,117,896221, nvidia graphics suspend visual-artifacts,3/24/2017
156,How to run scripts without typing the full path?,81000.0,10,55,427818, command-line bash scripts,3/1/2014
157,How to setup an Access Point mode Wi-Fi Hotspot?,351000.0,4,155,180733, wireless dell intel-wireless wireless-access-point,8/26/2012
158,How to install Ubuntu on VirtualBox?,504000.0,3,88,142549, virtualbox system-installation,5/26/2012
159,How do I boot into a root shell?,156000.0,1answer,72,92556, boot grub2 root recovery-mode,1/3/2012
160,How to enable or disable services?,1100000.0,8,789,19320, upstart services,12/29/2010
161,Can I move the Unity launcher?,379000.0,7,255,33605, unity launcher,4/5/2011
162,How can I resize an LVM partition? (i.e: physical volume),331000.0,9,82,196125, partitioning gparted lvm,10/3/2012
163,How do I reset a lost password (using recovery mode requires me to type the password)?,125000.0,4,30,121698, grub2 password-recovery,4/13/2012
164,How do I install different (upgrade or downgrade) PHP version in still supported Ubuntu release?,305000.0,2,227,109404, ppa php,3/2/2012
165,Difference between the i386 download and the amd64?,500000.0,5,161,54296, architecture,7/23/2011
166,How do I check the integrity of a storage medium (hard disk or flash drive)?,89000.0,4,60,539184, hard-drive usb-drive,10/20/2014
167,Can't boot without Flash Drive plugged in,45000.0,5,38,125494, boot usb,4/26/2012
168,How to understand the Ubuntu file system layout?,103000.0,6,214,138547, filesystem,5/17/2012
169,How to automount NTFS partitions?,150000.0,11,106,46588, mount dual-boot ntfs automount,6/2/2011
170,How do I run specific sudo commands without a password?,253000.0,2,201,159007, password sudo,7/3/2012
171,What Custom Launchers and Unity Quicklists are available?,206000.0,46,138,35488, unity launcher quicklists,4/16/2011
172,error: file '/grub/i386-pc/normal.mod' not found,299000.0,4,41,266429, boot grub2,3/11/2013
173,How do I get permissions to edit system configuration files?,246000.0,8,44,92379, permissions configuration root,1/3/2012
174,Failed to download repository information due to missing CDROM,35000.0,8,22,125111, apt,4/25/2012
175,How to restore a system after accidentally removing all kernels?,123000.0,5,68,28099, kernel,2/25/2011
176,How to solve permission denied when using sudo with redirection in Bash?,100000.0,6,125,230476, command-line bash sudo,12/19/2012
177,How do I add swap after system installation?,238000.0,8,149,33697, swap,4/5/2011
178,What is the correct way to completely remove an application?,1300000.0,8,520,187888, command-line package-management,9/14/2012
179,How to control fan speed?,552000.0,5,161,22108, power-management lm-sensors,1/18/2011
180,How to make a disk image and restore from it later?,549000.0,12,160,19901, backup,1/3/2011
181,How do I create a permanent Bash alias?,698000.0,9,338,17536, bash alias,12/15/2010
182,How to enable root login?,808000.0,5,132,44418, root users,5/22/2011
183,What is the difference between gksudo nautilus and sudo nautilus?,51000.0,7,98,11760, sudo security root gksudo,11/6/2010
184,Windows installer for Ubuntu 14.04 LTS onwards,282000.0,5,31,449486, wubi,4/18/2014
185,How can I install a Canon printer or scanner driver?,40000.0,6,30,75014, printing canon,11/3/2011
186,How to make a persistent live Ubuntu USB with more than 4GB,148000.0,5,62,397481, live-usb persistent,12/30/2013
187,How do I change my username?,670000.0,7,292,34074, permissions keyrings gnupg ssh user-profile,4/8/2011
188,How do I remove Windows but keep Ubuntu?,45000.0,4,46,784, windows system-installation,8/4/2010
189,How can I stop being prompted to unlock the 'default' keyring on boot?,341000.0,10,263,867, keyrings seahorse,8/4/2010
190,What's the easiest way to set up a LAMP stack?,47000.0,17,123,34, software-installation lamp,7/28/2010
191,How do I remap certain keys or devices?,244000.0,7,229,24916, xorg keyboard shortcut-keys,2/5/2011
192,I have 16GB RAM. Do I need 32GB swap?,339000.0,22,264,49109, ram swap,6/16/2011
193,How to install the Boot-Repair tool in an Ubuntu live disc?,238000.0,1answer,29,226061, boot boot-failure boot-repair,12/6/2012
194,How to get to the GRUB menu at boot-time?,634000.0,6,234,16042, boot grub2 menu,12/3/2010
195,Ubuntu GNOME 17.04: wi-fi not working  mac address keeps changing?,97000.0,1answer,56,902992, networking wireless network-manager 17.04,4/9/2017
196,Whats the simplest way to edit and add files to /var/www?,288000.0,7,143,19898, permissions webserver,1/3/2011
197,Blank screen after installing nvidia restricted driver,284000.0,16,103,41681, nvidia,7/15/2012
198,Why is it bad to log in as root?,101000.0,22,186,16178, security root users administrator,12/4/2010
199,How to fix Package is in a very bad inconsistent state error?,80000.0,7,83,148715, package-management,6/9/2012
200,No more updates for Google Chrome 32-bit,70000.0,7,106,724093, apt google-chrome release-management,1/22/2016
201,How to install Eclipse?,485000.0,18,198,26632, ppa eclipse software-installation,2/16/2011
202,How do you run Ubuntu Server with a GUI?,1200000.0,13,193,53822, server gui,7/20/2011
203,How do I reset GNOME to the defaults?,250000.0,9,103,56313, gnome configuration,8/8/2011
204,How can I boot with an older kernel version?,218000.0,7,53,82140, grub2 kernel,11/23/2011
205,How do I enable hardware virtualization technology (VT-x) for use in Virtualbox?,290000.0,2,57,256792, system-installation virtualbox virtualization,2/16/2013
206,How to fix W: Duplicate sources.list entry?,331000.0,25,188,120621, apt configuration software-sources,4/10/2012
207,apt-get update fails to fetch files Temporary failure resolving  error,389000.0,12,79,91543, apt,12/30/2011
208,Is the 64-Bit version of Ubuntu only compatible with AMD CPUs?,52000.0,2,31,197001, system-installation 64-bit architecture,10/6/2012
209,How can I set up password-less SSH login?,330000.0,10,243,46930, ssh authentication,6/4/2011
210,Is my ATI graphics card supported in Ubuntu?,81000.0,4,43,74171, ati,10/31/2011
211,How do I install the latest stable version of Firefox?,155000.0,11,153,6339, firefox software-installation,10/12/2010
212,How do I configure swappiness?,625000.0,1answer,328,103915, swap memory-usage,2/13/2012
213,Running programs in the background from terminal,295000.0,9,128,106351, command-line bash process console,2/22/2012
214,How do I set the grub timeout and the grub default boot entry?,579000.0,6,183,148095, boot dual-boot grub2,6/8/2012
215,If I build a package from source how can I uninstall or remove completely?,164000.0,7,127,87111, package-management uninstall compiling,12/12/2011
216,System freezes completely with Intel Bay Trail,26000.0,2,25,803640, 16.04 kernel intel,7/27/2016
217,How do I get AMD/Intel Hybrid Graphics drivers to work?,117000.0,5,62,205112, ati fglrx hybrid-graphics catalyst,10/23/2012
218,How to install Flash player on Ubuntu?,1200000.0,5,124,341428, games flash browser plugins pepperflash,9/4/2013
219,How can I get my graphics card to be recognized in System Info?,100000.0,4,71,85318, drivers graphics intel,12/5/2011
220,How to increase swap space?,190000.0,5,115,178712, swap,8/21/2012
221,How do I install the Nvidia driver for a GeForce GT 630 [duplicate],571000.0,9,70,451221, drivers nvidia software-installation 64-bit xserver,4/20/2014
222,Windows 10 upgrade led to grub rescue,235000.0,5,71,654386, boot dual-boot grub2 grubrescue windows-10,7/29/2015
223,Move home folder to second drive,159000.0,6,60,21321, directory users,1/13/2011
224,How do I remove the proprietary ATI drivers?,170000.0,5,36,68306, fglrx,10/17/2011
225,My WiFi adapter is not working at all how to troubleshoot?,236000.0,2,53,235279, wireless drivers,1/2/2013
226,How do I run executable scripts in Nautilus?,145000.0,12,156,286621, nautilus execute-command,4/27/2013
227,How do I get my Mac to boot from an Ubuntu USB key?,185000.0,7,60,28495, boot live-environment,2/28/2011
228,Error when installing: unable to find a medium containing a live file system,237000.0,10,63,15425, system-installation initramfs live-environment,11/30/2010
229,How to create a bootable USB stick?,49000.0,5,12,191980, live-usb usb-creator,9/23/2012
230,Why crontab scripts are not working?,889000.0,46,483,23009, cron,1/26/2011
231,What is dist-upgrade and why does it upgrade more than upgrade?,482000.0,5,374,81585, apt,11/22/2011
232,How to modify an invalid '/etc/sudoers' file?,336000.0,11,221,73864, sudo visudo,10/30/2011
233,How do I create a desktop wallpaper slideshow?,167000.0,20,189,134, wallpaper appearance,7/28/2010
234,How can I uninstall a nvidia driver completely ?,469000.0,6,84,206283, unity nvidia uninstall,10/25/2012
235,How do I change fonts and adjust their size?,358000.0,12,177,19770, fonts,1/2/2011
236,Virtualbox Kernel driver not installed [duplicate],191000.0,24,70,41118, kernel virtualbox,5/8/2011
237,How to read ext4 partitions in Windows? [closed],149000.0,10,58,9933, windows ext4,10/28/2010
238,I installed an alpha or beta am I up to date with the final release if I keep upgrading?,12000.0,2,59,5675, upgrade release-management,10/10/2010
239,How to recover a deleted NTFS partition with data,106000.0,2,14,171163, partitioning data-recovery,8/2/2012
240,Grub rescue - error: unknown filesystem,325000.0,5,57,119597, boot dual-boot grub2,4/7/2012
241,How can I install on a non-PAE CPU? (error Kernel requires features not present on the CPU: PAE),352000.0,7,101,117744, kernel system-installation pae,3/31/2012
242,How do I run .sh files?,2400000.0,16,303,38661, command-line bash,5/1/2011
243,How to get GRUB to be the default bootloader instead of Windows Boot Manager on a UEFI laptop?,520000.0,6,106,666631, boot dual-boot uefi hp windows-10,8/27/2015
244,What's your recommendation on drive partitioning schemes for a desktop and home server? [closed],50000.0,11,68,247, partitioning system-installation,7/29/2010
245,What does Package <package> has no installation candidate mean?,256000.0,2,63,14685, apt software-installation,11/24/2010
246,Apt/Synaptic needs to reinstall package but can't find the archive for it,53000.0,3,29,88371, apt package-management synaptic,12/17/2011
247,Execute sudo without Password?,534000.0,9,261,147241, command-line password sudo root,6/6/2012
248,GUI/Unity crashing in 16.04 LTS after updates 2018-01-04 compiz segfaults,25000.0,3,41,992571, 16.04 unity gui crash,1/5/2018
249,How do I install and switch to the Unity 2D desktop?,62000.0,4,45,21686, unity-2d desktop-environments qt,1/15/2011
250,Why I'm seeing a lock besides the partition I'm trying to modify with gparted?,96000.0,5,36,51272, partitioning gparted,6/30/2011
251,What does sudo apt-get update do?,1400000.0,9,482,222348, command-line apt updates,11/27/2012
252,Where to place my local website starting with the 2.4.7 version of apache2?,129000.0,2,50,448944, apache2 lamp,4/17/2014
253,Cannot install Ubuntu in VirtualBox due to this kernel requires an x86-64 CPU but only detects an i686 CPU unable to boot error,403000.0,4,117,308937, virtualbox,6/16/2013
254,How do I go about porting Ubuntu Touch to different devices?,14000.0,4,46,350558, ubuntu-touch,9/26/2013
255,How do I install Ubuntu-Tweak?,167000.0,5,57,75454, software-installation ubuntu-tweak,11/4/2011
256,How do I modify or disable the HUD's use of the Alt key?,143000.0,8,463,122209, unity shortcut-keys unity-2d hud,4/15/2012
257,How do I enter a file or directory with special characters in its name?,76000.0,8,39,101587, command-line filename cd-command,2/5/2012
258,Re-install Ubuntu without losing data in home folder,115000.0,3,24,269880, system-installation,3/19/2013
259,MD5 hash for ubuntu .iso (14.04 through 18.10),18000.0,1answer,10,503776, iso checksums,7/28/2014
260,How to keep processes running after ending ssh session?,584000.0,14,579,8653, ssh,10/21/2010
261,What IDEs are available for Ubuntu? [closed],239000.0,23,122,48299, software-recommendation ide,6/12/2011
262,How can I easily share the output of a command or a text file with others?,10000.0,7,59,152371, command-line,6/18/2012
263,How to install Ubuntu on portable external Hard Drive?,233000.0,4,26,446682, system-installation external-hdd,4/12/2014
264,What's the difference between Wubi and a regular alongside Windows installation?,57000.0,9,72,615, wubi system-installation,8/1/2010
265,How can I add a new user as sudoer using the command line?,2600000.0,7,784,7477, command-line sudo user-management,10/15/2010
266,Error message sudo: unable to resolve host (none),871000.0,19,689,59458, sudo error-handling,8/31/2011
267,Boot drops to a (initramfs) prompts/busybox,607000.0,5,176,137655, boot initramfs,5/16/2012
268,How to install Skype 4.3? [duplicate],431000.0,2,163,488053, software-installation skype,6/25/2014
269,Desktop forgets theme?,16000.0,15,79,21305, gnome themes gnome-settings-daemon,1/13/2011
270,Wifi problems with rtl8723be in Ubuntu 14.04,132000.0,4,41,590414, 14.04 networking wireless internet connection,2/26/2015
271,Why is gksu no longer installed by default?,119000.0,2,97,284306, gksu gksudo,4/22/2013
272,How can I deactivate Bluetooth on system startup?,261000.0,30,303,67758, startup bluetooth services,10/16/2011
273,Tips to extend battery life for laptops and notebooks,221000.0,23,180,400, power-management battery services,7/29/2010
274,How to enable TRIM?,207000.0,2,189,18903, ssd trim,12/26/2010
275,How can I tell Ubuntu to do nothing when I close my laptop lid?,305000.0,14,270,15520, power-management,11/30/2010
276,How do I install the Cinnamon Desktop?,213000.0,7,116,94201, software-installation cinnamon,1/9/2012
